id,timestamp,tweet_text,username,location,coordinates,place_json,all_hashtags,followers_count
1370416821837389826,2021-03-12 16:50:06,"b'We now have a total of 31 #SolarSchools which combine for a total of 5,858 panels, with the largest installation at Wykham Park (599 panels) and the smallest at Middle Barton (40 panels). #solar #communityenergy #lowcarbonhub   Read more about them here: https://t.co/oCiClH6970 https://t.co/nKKify5B2h'",b'LowCarbonHub',"OXFORD, UK",,,"['SolarSchools', 'solar', 'communityenergy', 'lowcarbonhub']",4120
1370697013738803201,2021-03-13 11:23:29,b'Have a glimpse at @EnergiAkademiet in #SXSW https://t.co/59j2rLJNVp  @soerensamsoe &amp; @ElizKolbert tell the story of an island community that took climate action &amp; improved its outlook  Register https://t.co/wKCTTmzBRr  #CommunityEnergy #EUGreenDeal #ParisAgreement #CleanEnergyEU',b'AChatzimpiros',"Liverpool, UK",,,"['SXSW', 'CommunityEnergy', 'EUGreenDeal', 'ParisAgreement', 'CleanEnergyEU']",239
1370707487276564493,2021-03-13 12:05:06,"b'In the face of policy failure and subsidy cuts from Government, community-led initiatives across the UK are taking vital action to tackle the escalating #ClimateCrisis.  Be part of the solution by joining your local #CommunityEnergy group.  https://t.co/7lezNB5xn8  #ClimateAction'",b'BHenergyservice',Brighton,,,"['ClimateCrisis', 'CommunityEnergy', 'ClimateAction']",2327
1370721105900670981,2021-03-13 12:59:13,"b'Fascinating piece on @new_school_uk- aims to create a \xe2\x80\x9cmini democracy\xe2\x80\x9d and \xe2\x80\x9cself-determination within a community of equals\xe2\x80\x9d.  With @RekindleSchool &amp; Doncaster @bigpiclearning, it feels like there\xe2\x80\x99s a real #communitypower movement growing in education...  https://t.co/kaL0XTuVzg'",b'jesstud',"Cambridge, England",,,['communitypower'],4329
1370726052654415883,2021-03-13 13:18:52,"b'Looking forward to talk about Azure Private Link and Private Endpoint, together with @MichaWets at the MC2MC March evening event next Thursday March 18th.  We hope to see you there virtually! \xf0\x9f\x9a\x80  #mc2mc #belgian #Community #CommunityPower #Microsoft #Azure #AzurePrivateLink https://t.co/p0WRW0Aal4'",b'wmatthyssen',Belgium,,,"['mc2mc', 'belgian', 'Community', 'CommunityPower', 'Microsoft', 'Azure', 'AzurePrivateLink']",1359
1370794059959300104,2021-03-13 17:49:06,b'We are in desperate needs of big CARRIER BAGS! If you have any please drop off to us 12-2 @ the Woodside social club on Tues and thurs or usual spot on Saturdays @southnorwoodbaptist \xf0\x9f\x92\xbc \xf0\x9f\x91\x9c \xf0\x9f\x91\x9b\xf0\x9f\x8e\x92\xf0\x9f\xa7\xb3  #mutualaid #communitypower #southnorwood #foodforall #thegoodlife #communityaction',b'norwoodkitchen',South Norwood,,,"['mutualaid', 'communitypower', 'southnorwood', 'foodforall', 'thegoodlife', 'communityaction']",1501
1370812600968220677,2021-03-13 19:02:47,b'Visit our project website at https://t.co/NyTjWRsSD6 for more information and to RSVP for our event.  Photo credit: Giles Ashford &amp; RISE  #greaterrockawayplan #greennewdeal #rockaway #dunes #communitypower #biodiversity #ecology #naturebasedsolutions (5/5)',b'RISERockaway',"The Rockaways, NY",,,"['greaterrockawayplan', 'greennewdeal', 'rockaway', 'dunes', 'communitypower', 'biodiversity', 'ecology', 'naturebasedsolutions']",1636
1370871899752955904,2021-03-13 22:58:25,b'Have a glimpse at @EnergiAkademiet in #SXSW \xf0\x9f\x91\x89\xf0\x9f\x8f\xbbhttps://t.co/zZQXaV5ljI  @soerensamsoe &amp; @ElizKolbert tell the story of an island community that was made happier with climate action!  Register https://t.co/wKCTTmzBRr  #CommunityEnergy #EUGreenDeal #ParisAgreement #CleanEnergyEU',b'AChatzimpiros',"Liverpool, UK",,,"['SXSW', 'CommunityEnergy', 'EUGreenDeal', 'ParisAgreement', 'CleanEnergyEU']",239
1371118185391460352,2021-03-14 15:17:04,"b'EVENT: Join 3 Northern Mayors with @PeoplesPowerhse for a free online listening event \xf0\x9f\x93\x86 Monday 22 March \xe2\x9e\xa1\xef\xb8\x8f Leading Recovery, Getting Level. Time for a reset? #localdemocracy #buildbackbetter #localgov  #communitypower  https://t.co/yEpVninzp8'",b'CforWR',United Kingdom,,,"['localdemocracy', 'buildbackbetter', 'localgov', 'communitypower']",7257
1371136719072989187,2021-03-14 16:30:42,"b'when people learn that every indivdual personality exists as a nexus and representation of their surrounding psychosocial communal forces, we might start to understand and get along. #PeaceAndLove #agency #whoareyou #whoarewe #self #communitypower'",b'Georgie_Talks',,,,"['PeaceAndLove', 'agency', 'whoareyou', 'whoarewe', 'self', 'communitypower']",3
